SECCIO_CENSAL,HOMES,DONES,EDAT_0_A_14,EDAT_15_A_24,EDAT_25_A_64,EDAT_65_A_MES,NACIONALS,COMUNITARIS,ESTRANGERS
10022,630,755,140,138,860,247,1085,100,200
10023,674,807,160,155,803,363,1187,102,192
10024,728,762,196,139,873,282,1197,82,211
10025,624,755,150,120,819,290,1095,83,201
10026,740,810,212,132,913,293,1186,97,267
10027,713,787,161,146,835,358,1315,57,128
10028,879,923,189,216,1061,336,1491,59,252
10029,703,754,185,132,824,316,1234,79,144
10030,836,945,214,149,948,470,1561,54,166
10031,765,806,157,101,967,346,1242,107,222
10032,667,721,162,137,895,194,1163,90,135
10033,396,482,56,94,405,323,831,20,27
10034,825,889,224,125,874,491,1499,52,163
10035,983,1030,305,239,1118,351,1898,40,75
10036,730,724,221,197,906,130,1232,103,119
10037,507,569,125,97,644,210,785,84,207
10038,768,842,170,151,991,298,1280,152,178
10039,889,991,250,172,1149,309,1393,205,282
10040,922,958,198,163,1106,413,1412,123,345
10041,793,874,205,133,957,372,1287,121,259
10042,1436,1582,564,180,1829,445,2299,266,453
10043,1183,1180,335,303,1496,229,1492,348,523
10044,738,826,152,114,881,417,1247,160,157
10045,633,679,144,99,764,305,1068,133,111
10046,581,638,105,72,682,360,967,109,143
10047,856,918,141,135,1055,443,1335,202,237
10048,854,870,224,177,997,326,1298,212,214
10049,642,634,141,106,689,340,1067,100,109
10050,736,840,146,135,917,378,1325,96,155
10051,768,836,227,151,901,325,1276,173,155
10052,1214,1216,378,300,1502,250,1941,310,179
10053,857,892,201,234,995,319,1458,184,107
10054,463,507,137,131,558,144,779,110,81
10055,1303,1322,350,411,1401,463,2112,308,205
10056,934,943,257,136,1264,220,1258,319,300
10057,723,736,199,89,931,240,1055,218,186
10058,577,583,152,81,739,188,880,130,150
10059,834,927,242,123,1094,302,1229,295,237
10060,815,828,217,152,1082,192,1160,224,259
10061,863,933,239,138,982,437,1518,149,129
10062,748,794,210,150,889,293,1292,125,125
10063,589,636,147,96,701,281,1023,113,89
10064,807,871,231,137,1034,276,1274,223,181
10065,758,838,238,124,967,267,1298,176,122
10066,1056,1077,342,222,1213,356,1722,204,207
10067,914,1006,396,233,1122,169,1599,191,130
10068,824,840,328,178,972,186,1422,137,105
